X0,Y0,X1,Y1
"","",390.054,103.4367
"","",390.583,103.2686
"","",391.111,103.0998
"","",391.640,102.9303
"","",392.168,102.7601
"","",392.697,102.5893
"","",393.225,102.4177
"","",393.754,102.2454
"","",394.282,102.0724
"","",394.811,101.8987
"","",395.339,101.7243
"","",395.868,101.5492
"","",396.396,101.3734
"","",396.925,101.1969
"","",397.453,101.0196
"","",397.982,100.8417
"","",398.510,100.6631
"","",399.039,100.4838
"","",399.568,100.3038
"","",400.096,100.1231
"","",400.625,99.9417
"","",401.153,99.7595
"","",401.682,99.5767
"","",402.210,99.3932
"","",402.739,99.2090
"","",403.267,99.0240
"","",403.796,98.8384
"","",404.324,98.6521
"","",404.853,98.4650
"","",405.381,98.2773
"","",405.910,98.0889
"","",406.438,97.8997
"","",406.967,97.7099
"","",407.495,97.5193
"","",408.024,97.3281
"","",408.553,97.1361
"","",409.081,96.9435
"","",409.610,96.7501
"","",410.138,96.5561
"","",410.667,96.3613
"","",411.195,96.1659
"","",411.724,95.9697
"","",412.252,95.7729
"","",412.781,95.5753
"","",413.309,95.3770
"","",413.838,95.1781
"","",414.366,94.9784
"","",414.895,94.7780
"","",415.423,94.5770
"","",415.952,94.3752
"","",416.480,94.1727
"","",417.009,93.9695
"","",417.538,93.7657
"","",418.066,93.5611
"","",418.595,93.3558
"","",419.123,93.1498
"","",419.652,92.9431
"","",420.180,92.7357
"","",420.709,92.5276
"","",421.237,92.3188
"","",421.766,92.1094
"","",422.294,91.8992
"","",422.823,91.6883
"","",423.351,91.4767
"","",423.880,91.2644
"","",424.408,91.0514
"","",424.937,90.8377
"","",425.465,90.6233
"","",425.994,90.4081
"","",426.523,90.1923
"","",427.051,89.9758
"","",427.580,89.7586
"","",428.108,89.5407
"","",428.637,89.3221
"","",429.165,89.1028
"","",429.694,88.8827
"","",430.222,88.6620
"","",430.751,88.4406
"","",431.279,88.2185
"","",431.808,87.9956
"","",432.336,87.7721
"","",432.865,87.5479
"","",433.393,87.3229
"","",433.922,87.0973
"","",434.450,86.8710
"","",434.979,86.6439
"","",435.508,86.4162
"","",436.036,86.1877
"","",436.565,85.9586
"","",437.093,85.7288
"","",437.622,85.4982
"","",438.150,85.2670
"","",438.679,85.0350
"","",439.207,84.8023
"","",439.736,84.5690
"","",440.264,84.3349
"","",440.793,84.1002
"","",441.321,83.8647
"","",441.850,83.6285
"","",442.378,83.3917
"","",442.907,83.1541
"","",443.435,82.9158
"","",443.964,82.6769
"","",444.492,82.4372
"","",445.021,82.1968
"","",445.550,81.9557
"","",446.078,81.7140
"","",446.607,81.4715
"","",447.135,81.2283
"","",447.664,80.9844
"","",448.192,80.7398
"","",448.721,80.4946
"","",449.249,80.2486
"","",449.778,80.0019
"","",450.306,79.7545
"","",450.835,79.5064
"","",451.363,79.2576
"","",451.892,79.0081
"","",452.420,78.7579
"","",452.949,78.5070
"","",453.477,78.2554
"","",454.006,78.0031
"","",454.535,77.7501
"","",455.063,77.4964
"","",455.592,77.2420
"","",456.120,76.9868
"","",456.649,76.7310
"","",457.177,76.4745
"","",457.706,76.2173
"","",458.234,75.9594
"","",458.763,75.7008
"","",459.291,75.4414
"","",459.820,75.1814
"","",460.348,74.9207
"","",460.877,74.6592
"","",461.405,74.3971
"","",461.934,74.1343
"","",462.462,73.8707
"","",462.991,73.6065
"","",463.520,73.3416
"","",464.048,73.0759
"","",464.577,72.8096
"","",465.105,72.5425
"","",465.634,72.2748
"","",466.162,72.0063
"","",466.691,71.7372
"","",467.219,71.4674
"","",467.748,71.1968
"","",468.276,70.9255
"","",468.805,70.6536
"","",469.333,70.3809
"","",469.862,70.1076
"","",470.390,69.8335
"","",470.919,69.5587
"","",471.447,69.2833
"","",471.976,69.0071
"","",472.505,68.7302
"","",473.033,68.4527
"","",473.562,68.1744
"","",474.090,67.8954
"","",474.619,67.6157
"","",475.147,67.3354
"","",475.676,67.0543
"","",476.204,66.7725
"","",476.733,66.4900
"","",477.261,66.2068
"","",477.790,65.9229
"","",478.318,65.6383
"","",478.847,65.3531
"","",479.375,65.0671
"","",479.904,64.7804
"","",480.432,64.4930
"","",480.961,64.2049
"","",481.490,63.9161
"","",482.018,63.6266
"","",482.547,63.3364
"","",483.075,63.0455
"","",483.604,62.7538
"","",484.132,62.4615
"","",484.661,62.1685
"","",485.189,61.8748
"","",485.718,61.5804
"","",486.246,61.2853
"","",486.775,60.9895
"","",487.303,60.6929
"","",487.832,60.3957
"","",488.360,60.0978
"","",488.889,59.7992
"","",489.417,59.4998
"","",489.946,59.1998
"","",490.474,58.8991
"","",491.003,58.5976
"","",491.532,58.2955
"","",492.060,57.9927
"","",492.589,57.6891
"","",493.117,57.3849
"","",493.646,57.0799
"","",494.174,56.7743
"","",494.703,56.4679
"","",495.231,56.1609
"","",495.760,55.8531
"","",496.288,55.5447
"","",496.817,55.2355
"","",497.345,54.9257
"","",497.874,54.6151
"","",498.402,54.3039
"","",498.931,53.9919
"","",499.459,53.6792
"","",499.988,53.3659
"","",500.517,53.0518
"","",501.045,52.7370
"","",501.574,52.4216
"","",502.102,52.1054
"","",502.631,51.7885
"","",503.159,51.4710
"","",503.688,51.1527
"","",504.216,50.8337
"","",504.745,50.5140
"","",505.273,50.1936
"","",505.802,49.8726
"","",506.330,49.5508
"","",506.859,49.2283
"","",507.387,48.9051
"","",507.916,48.5812
"","",508.444,48.2566
"","",508.973,47.9313
"","",509.501,47.6053
"","",510.030,47.2786
"","",510.559,46.9512
"","",511.087,46.6231
"","",511.616,46.2943
"","",512.144,45.9648
"","",512.673,45.6346
"","",513.201,45.3037
"","",513.730,44.9720
"","",514.258,44.6397
"","",514.787,44.3067
"","",515.315,43.9730
"","",515.844,43.6386
"","",516.372,43.3035
"","",516.901,42.9676
"","",517.429,42.6311
"","",517.958,42.2939
"","",518.487,41.9559
"","",519.015,41.6173
"","",519.544,41.2780
"","",520.072,40.9379
"","",520.601,40.5972
"","",521.129,40.2558
"","",521.658,39.9136
"","",522.186,39.5708
"","",522.715,39.2272
"","",523.243,38.8830
"","",523.772,38.5381
"","",524.300,38.1924
"","",524.829,37.8460
"","",525.357,37.4990
"","",525.886,37.1513
"","",526.414,36.8028
"","",526.943,36.4536
"","",527.471,36.1038
"","",528.000,35.7532
